MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,FLAG,ITH
LIV_54,QCHZ2,1.82911,1,13.777567,-43119,-60416,63N07,BL LASER,58,,12.743698369950366
LIV_54,QCHZ2,1.833962,1,14.074964,-43119,-60416,63N07,BL LASER,59,,12.743698369950366
LIV_54,QCHZ2,1.838776,1,14.375647,-43119,-60416,63N07,BL LASER,60,,12.743698369950366
LIV_54,QCHZ2,1.843628,1,14.673044,-43119,-60416,63N07,BL LASER,61,,12.743698369950366
LIV_54,QCHZ2,1.848442,1,14.970441,-43119,-60416,63N07,BL LASER,62,,12.743698369950366
LIV_54,QCHZ2,1.853256,1,15.272768,-43119,-60416,63N07,BL LASER,63,,12.743698369950366
LIV_54,QCHZ2,1.357253,2,0.012784,-43119,-60266,63N0A,BL LASER,1,,13.665729034190992
LIV_54,QCHZ2,1.42319,2,0.017713,-43119,-60266,63N0A,BL LASER,2,,13.665729034190992
LIV_54,QCHZ2,1.46324,2,0.019356,-43119,-60266,63N0A,BL LASER,3,,13.665729034190992
LIV_54,QCHZ2,1.488068,2,0.019356,-43119,-60266,63N0A,BL LASER,4,,13.665729034190992
LIV_54,QCHZ2,1.506945,2,0.020999,-43119,-60266,63N0A,BL LASER,5,,13.665729034190992
LIV_54,QCHZ2,1.522771,2,0.019356,-43119,-60266,63N0A,BL LASER,6,,13.665729034190992
LIV_54,QCHZ2,1.536741,2,0.019356,-43119,-60266,63N0A,BL LASER,7,,13.665729034190992
LIV_54,QCHZ2,1.549398,2,0.017713,-43119,-60266,63N0A,BL LASER,8,,13.665729034190992
LIV_54,QCHZ2,1.561089,2,0.01607,-43119,-60266,63N0A,BL LASER,9,,13.665729034190992
LIV_54,QCHZ2,1.572085,2,0.009497,-43119,-60266,63N0A,BL LASER,10,,13.665729034190992
LIV_54,QCHZ2,1.582462,2,0.004568,-43119,-60266,63N0A,BL LASER,11,,13.665729034190992
LIV_54,QCHZ2,1.592222,2,0.002004,-43119,-60266,63N0A,BL LASER,12,,13.665729034190992
LIV_54,QCHZ2,1.601479,2,0.018435,-43119,-60266,63N0A,BL LASER,13,,13.665729034190992
LIV_54,QCHZ2,1.609461,2,0.075943,-43119,-60266,63N0A,BL LASER,14,,13.665729034190992
LIV_54,QCHZ2,1.613347,2,0.407844,-43119,-60266,63N0A,BL LASER,15,,13.665729034190992
LIV_54,QCHZ2,1.617659,2,0.733174,-43119,-60266,63N0A,BL LASER,16,,13.665729034190992
LIV_54,QCHZ2,1.622279,2,1.045358,-43119,-60266,63N0A,BL LASER,17,,13.665729034190992
LIV_54,QCHZ2,1.627093,2,1.350971,-43119,-60266,63N0A,BL LASER,18,,13.665729034190992
LIV_54,QCHZ2,1.631984,2,1.651654,-43119,-60266,63N0A,BL LASER,19,,13.665729034190992
LIV_54,QCHZ2,1.636875,2,1.949051,-43119,-60266,63N0A,BL LASER,20,,13.665729034190992
LIV_54,QCHZ2,1.641843,2,2.249734,-43119,-60266,63N0A,BL LASER,21,,13.665729034190992
LIV_54,QCHZ2,1.646812,2,2.547131,-43119,-60266,63N0A,BL LASER,22,,13.665729034190992
LIV_54,QCHZ2,1.65178,2,2.844528,-43119,-60266,63N0A,BL LASER,23,,13.665729034190992
LIV_54,QCHZ2,1.656787,2,3.145212,-43119,-60266,63N0A,BL LASER,24,,13.665729034190992
LIV_54,QCHZ2,1.661755,2,3.439323,-43119,-60266,63N0A,BL LASER,25,,13.665729034190992
LIV_54,QCHZ2,1.666724,2,3.738363,-43119,-60266,63N0A,BL LASER,26,,13.665729034190992
LIV_54,QCHZ2,1.671692,2,4.03576,-43119,-60266,63N0A,BL LASER,27,,13.665729034190992
LIV_54,QCHZ2,1.676699,2,4.3348,-43119,-60266,63N0A,BL LASER,28,,13.665729034190992
LIV_54,QCHZ2,1.681667,2,4.63384,-43119,-60266,63N0A,BL LASER,29,,13.665729034190992
LIV_54,QCHZ2,1.686635,2,4.934523,-43119,-60266,63N0A,BL LASER,30,,13.665729034190992
LIV_54,QCHZ2,1.691604,2,5.230277,-43119,-60266,63N0A,BL LASER,31,,13.665729034190992
LIV_54,QCHZ2,1.696572,2,5.521102,-43119,-60266,63N0A,BL LASER,32,,13.665729034190992
LIV_54,QCHZ2,1.701502,2,5.818499,-43119,-60266,63N0A,BL LASER,33,,13.665729034190992
LIV_54,QCHZ2,1.70647,2,6.11261,-43119,-60266,63N0A,BL LASER,34,,13.665729034190992
